"Distance [mm]","Bz []"
0,0.000296298871862103
0.0557632,-0.0118629198760996
0.1115264,-0.0240880274856433
0.1672896,-0.0363773498725908
0.2230528,-0.0487354262053646
0.278816,-0.0611622881574302
0.3345792,-0.0736579660426931
0.3903424,-0.0862224888148221
0.4461056,-0.0988558840665881
0.5018688,-0.111528970075161
0.557632,-0.124294122322782
0.6133952,-0.137321512911433
0.6691584,-0.151116419245967
0.7249216,-0.164928752509303
0.7806848,-0.178877474777286
0.836448,-0.192906148158962
0.8922112,-0.20732263529722
0.9479744,-0.222242435291718
1.0037376,-0.237172594515721
1.0595008,-0.252094385292829
1.115264,-0.266955005027984
1.1710272,-0.281851948361475
1.2267904,-0.29700495843782
1.2825536,-0.312208180487545
1.3383168,-0.327435235843257
1.39408,-0.342685892798629
1.4498432,-0.357959919819115
1.5056064,-0.37315294856032
1.5613696,-0.387504609718879
1.6171328,-0.401339376781076
1.672896,-0.415010838643407
1.7286592,-0.428518642824201
1.7844224,-0.441862438354248
1.8401856,-0.455041875780799
1.8959488,-0.468056607171557
1.951712,-0.480906286118643
2.0074752,-0.493469538118629
2.0632384,-0.505341246648208
2.1190016,-0.515877352429552
2.1747648,-0.526263774540239
2.230528,-0.536640777062067
2.2862912,-0.547024465775441
2.3420544,-0.557108819047919
2.3978176,-0.565254424035331
2.4535808,-0.5736191312017
2.509344,-0.582202527907124
2.5651072,-0.590942618889744
2.6208704,-0.598579267668394
2.6766336,-0.605239764019318
2.7323968,-0.611842413109844
2.78816,-0.618387650779687
2.8439232,-0.624713894539867
2.8996864,-0.630313592111729
2.9554496,-0.635347691986904
3.0112128,-0.64031246125881
3.066976,-0.645298106936731
3.1227392,-0.650210386499092
3.1785024,-0.655049319191605
3.2342656,-0.659621677768288
3.2900288,-0.663887531028793
3.345792,-0.667796221092883
3.4015552,-0.671617747396709
3.4573184,-0.675075863935479
3.5130816,-0.678245787750075
3.5688448,-0.681389916858617
3.624608,-0.684426903655953
3.6803712,-0.6871753865518
3.7361344,-0.689764542747993
3.7918976,-0.692371860372421
3.8476608,-0.694977459288102
3.903424,-0.697563589975615
3.9591872,-0.699659689948345
4.0149504,-0.701616551177015
4.0707136,-0.703593158966665
4.1264768,-0.705589566860054
4.18224,-0.70732720553795
4.2380032,-0.708860389376013
4.2937664,-0.710391071539886
4.3495296,-0.711935077672183
4.4052928,-0.713502098753724
4.461056,-0.715092182390979
4.5168192,-0.716385436546622
4.5725824,-0.717606892430099
4.6283456,-0.718796208617594
4.6841088,-0.719963314356184
4.739872,-0.720975326165198
4.7956352,-0.721915621534931
4.8513984,-0.722846952612298
4.9071616,-0.723769289644571
4.9629248,-0.724624865130548
5.018688,-0.725399450267144
5.0744512,-0.726174146835175
5.1302144,-0.7269489772979
5.1859776,-0.727721010465445
5.2417408,-0.72831836426947
5.297504,-0.728899522745549
5.3532672,-0.729464471433428
5.4090304,-0.730013196072897
5.4647936,-0.730545682603948
5.5205568,-0.731061917166934
5.57632,-0.731561886102731
5.6320832,-0.732057889139955
5.6878464,-0.732489622337757
5.7436096,-0.732849188015884
5.7993728,-0.733204594004392
5.855136,-0.733555813535987
5.9108992,-0.733902819872667
5.9666624,-0.734245586306035
6.0224256,-0.734571233952124
6.0781888,-0.734757366851595
6.133952,-0.734946558894274
6.1897152,-0.735138783739762
6.2454784,-0.735334015023318
6.3012416,-0.735532226356176
6.3570048,-0.735733391325865
6.412768,-0.735931361222852
6.4685312,-0.736075557652194
6.5242944,-0.73620529363843
6.5800576,-0.736320561879064
6.6358208,-0.736409381044601
6.691584,-0.736488958331806
6.7473472,-0.736564831438654
6.8031104,-0.736602757431975
6.8588736,-0.736641270899293
6.9146368,-0.736645894767027
6.9704,-0.736624153063959
7.0261632,-0.736600218415906
7.0819264,-0.736574095531949
7.1376896,-0.736545789132402
7.1934528,-0.736515303948766
7.249216,-0.73648264472366
7.3049792,-0.73639615169893
7.3607424,-0.736291545415727
7.4165056,-0.736188983641052
7.4722688,-0.736085179128427
7.528032,-0.735961040305464
7.5837952,-0.73578238502903
7.6395584,-0.735562866362612
7.6953216,-0.735341617430196
7.7510848,-0.735118652580461
7.806848,-0.734893986219005
7.8626112,-0.734665975578952
7.9183744,-0.734422255356412
7.9741376,-0.734166838102397
8.0299008,-0.733899669671011
8.085664,-0.733580980905756
8.1414272,-0.733180884712509
8.1971904,-0.732769594426523
8.2529536,-0.732347128899386
8.3087168,-0.731913506990807
8.36448,-0.731468747568387
8.4202432,-0.731002979408285
8.4760064,-0.730541404606587
8.5317696,-0.730025434512413
8.5875328,-0.729490509709388
8.643296,-0.72886580199312
8.6990592,-0.728180351652117
8.7548224,-0.727444249318477
8.8105856,-0.726660193682198
8.8663488,-0.725828260150731
8.922112,-0.724948524801414
8.9778752,-0.724021064380543
9.0336384,-0.723052693026674
9.0894016,-0.722137465331407
9.1451648,-0.721308255315047
9.200928,-0.720454586169615
9.2566912,-0.719576465619052
9.3124544,-0.718673901500268
9.3682176,-0.717438036962362
9.4239808,-0.716157981341662
9.479744,-0.714869280975484
9.5355072,-0.713571884602776
9.5912704,-0.712265740959946
9.6470336,-0.710791473361932
9.7027968,-0.708923567070997
9.75856,-0.707073190914253
9.8143232,-0.705240218564194
9.8700864,-0.703424523712293
9.9258496,-0.701625980070613
9.9816128,-0.699600992015222
10.037376,-0.697094417797992
10.0931392,-0.694412796399786
10.1489024,-0.691653291269695
